название,фамилия_автора,инициалы_автора,название_журнала,год_публикации,номер_тома,в_ринц,количество_страниц,количество_цитирований
себялюбивые,Власов,И.П.,на,1896,13,1,523,757
ведет,Семёнов,Н.В.,своих,1904,43,1,530,721
Я,Титов,Ю.Ф.,ибо,1916,20,0,524,903
Это,Воронов,Я.З.,Господь,1918,29,0,510,426
пастырь,Блинов,Т.Д.,самый,1919,50,0,517,275
людей,Власов,С.А.,замыслит,1920,7,0,547,775
препятствуют,Попов,У.Х.,над,1921,24,1,511,242
и,Зайцев,К.М.,самый,1923,49,1,523,440
кто,Комаров,М.Р.,кто,1927,19,1,533,218
препятствуют,Жуков,К.М.,на,1927,27,0,550,718
людей,Козлов,С.А.,моим,1934,11,0,541,951
сквозь,Потапов,У.Х.,и,1936,8,0,516,434
ведет,Макаров,В.К.,и,1953,19,1,537,262
доброты,Медведев,Ю.Ф.,моим,1956,49,1,549,195
логическим,Ушаков,Б.Т.,падёт,1962,20,1,516,358
тот,Поляков,Я.З.,и,1962,3,0,553,492
за,Артемьев,С.А.,моим,1967,7,1,523,332
препятствуют,Рыбаков,К.М.,узнаешь,1973,15,1,522,369
ведет,Ершов,А.С.,что,1982,12,1,535,444
курса,Гаврилов,У.Х.,и,1985,12,1,552,791
и,Баранов,Г.У.,именно,1987,5,1,532,599
Блажен,Потапов,Ю.Ф.,мщение,1987,34,1,536,959
кто,Калашников,И.П.,и,1987,7,0,545,984
злых,Алексеев,Д.Л.,ибо,1988,10,0,546,183
себялюбивые,Малышев,Н.В.,ибо,1988,25,0,521,253
труден,Артемьев,Л.Б.,ближних,1995,14,0,539,167
имя,Попов,Ю.Ф.,ты,2004,29,0,541,9
исчислениям,Емельянов,Б.Т.,о,2008,16,0,554,417
путь,Баранов,М.Р.,моим,2009,13,1,553,105
доброты,Ковалёв,В.К.,воистину,2010,31,1,531,572
кто,Фёдоров,Ю.Ф.,моё,2013,47,0,518,989
логическим,Трофимов,Ф.Ч.,кто,2016,13,0,515,752
ему,Фролов,А.С.,ближних,2019,12,1,534,260
людей,Козлов,Ю.Ф.,кто,2019,4,1,539,280
ему,Рожков,В.К.,падёт,2020,4,1,541,989
во,Зимин,С.А.,когда,2022,17,0,549,525
